"ticker","ref_date","price_open","price_high","price_low","price_close","volume","price_adjusted","ret_adjusted_prices","ret_closing_prices","cumret_adjusted_prices"
"^BVSP",2018-06-19,69811,72010,69069,71394,5185300,71394,0.0223649458069134,0.0223649458069134,0.912903418733064
"^BVSP",2018-06-20,71397,72617,71155,72123,4414600,72123,0.0101591626066702,0.0101591626066702,0.923062581339735
"^BVSP",2018-06-21,72117,72207,70019,70075,3490800,70075,-0.0288068977568896,-0.0288068977568896,0.894255683582845
"^BVSP",2018-06-22,70077,71058,69907,70641,3054700,70641,0.00804461543004408,0.00804461543004408,0.902300299012889
"^BVSP",2018-06-25,70642,71323,69779,70953,3346300,70953,0.00440697352933952,0.00440697352933952,0.906707272542229
"^BVSP",2018-06-26,70968,71622,70203,71405,3502300,71405,0.00635020889466092,0.00635020889466092,0.913057481436889
"^BVSP",2018-06-27,71405,72032,70134,70609,3588900,70609,-0.0112102797768849,-0.0112102797768849,0.901847201660005
"^BVSP",2018-06-28,70609,72092,70439,71767,3511400,71767,0.0162671452452487,0.0162671452452487,0.918114346905253
"^BVSP",2018-06-29,71779,73020,71779,72763,3879400,72763,0.0137828238725178,0.0137828238725178,0.931897170777771
"^BVSP",2018-07-02,72763,72840,71935,72840,2753900,72840,0.001057670613629,0.001057670613629,0.9329548413914
"^BVSP",2018-07-03,72848,74515,72848,73668,3253800,73668,0.0113032573739524,0.0113032573739524,0.944258098765352
"^BVSP",2018-07-04,73667,74904,73450,74743,2142100,74743,0.0144870501674741,0.0144870501674741,0.958745148932827
"^BVSP",2018-07-05,74751,75127,73756,74553,3562800,74553,-0.00254528055105956,-0.00254528055105956,0.956199868381767
"^BVSP",2018-07-06,74558,75065,74048,75010,0,75010,0.00611115613177064,0.00611115613177064,0.962311024513538
"^BVSP",2018-07-10,75015,75895,74431,74862,3901000,74862,-0.00197501932460557,-0.00197501932460557,0.960336005188932
"^BVSP",2018-07-11,74862,75025,74196,74399,3766800,74399,-0.0062039177684374,-0.0062039177684374,0.954132087420495
"^BVSP",2018-07-12,74403,75898,74403,75856,3508500,75856,0.0193943052712607,0.0193943052712607,0.973526392691755
"^BVSP",2018-07-13,75856,76682,75554,76594,0,76594,0.00968193853718493,0.00968193853718493,0.98320833122894
